"monthyear","total_streams"
Oct 2015,1543
Nov 2015,1670
Dec 2015,628
Jan 2016,836
Feb 2016,465
Mar 2016,716
Apr 2016,1185
May 2016,1792
Jun 2016,873
Jul 2016,602
Aug 2016,963
Sep 2016,1250
Oct 2016,1253
Nov 2016,987
Dec 2016,1509
Mar 2017,1694
Apr 2017,1720
May 2017,1587
Jun 2017,1263
Jul 2017,1005
Aug 2017,623
Sep 2017,774
Oct 2017,874
Nov 2017,1434
Dec 2017,1578
Jan 2018,2471
Feb 2018,2295
Mar 2018,2778
Apr 2018,2439
May 2018,2264
Jun 2018,2360
Jul 2018,2341
Aug 2018,2474
Sep 2018,2290
Oct 2018,2153
Nov 2018,1920
Dec 2018,2059
Jan 2019,1573
Feb 2019,1629
Mar 2019,1648
Apr 2019,1824
May 2019,1717
Jun 2019,1494
Jul 2019,1448
Aug 2019,1070
Sep 2019,969
Oct 2019,1420
Nov 2019,1297
Dec 2019,1530
Jan 2020,1603
Feb 2020,1186
Mar 2020,1624
Apr 2020,1080
May 2020,1614
Jun 2020,1586
Jul 2020,1285
Aug 2020,1219
Sep 2020,1545
Oct 2020,1393
Nov 2020,1220
Dec 2020,1278
Jan 2021,1343
Feb 2021,1009
Mar 2021,1489
Apr 2021,1381
May 2021,1388
Jun 2021,1815
Jul 2021,1150
Aug 2021,1135
Sep 2021,1169
Oct 2021,1285
Nov 2021,1650
Dec 2021,1842
Jan 2022,1270
Feb 2022,1198
Mar 2022,1577
Apr 2022,1673
May 2022,1653
Jun 2022,1641
Jul 2022,1772
